"TERM:  1232","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","",""
"SUBJECT:  INTERDISCIPLINARY COURSES (L & S) (502)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time
M","T
W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","250","SEM","002","1","17:30 - 18:30","W","","","","","0482 0378","16","16","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","003","1","17:30 - 18:30","W","","","","","0482 0386","17","17","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","004","1","17:30 - 18:30","W","","","","","0482 0375","19","19","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","005","1","17:30 - 18:30","W","","","","","0482 0387","19","19","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","006","1","17:30 - 18:30","W","","","","","0482 0491","19","19","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","007","1","17:30 - 18:30","W","","","","","0482 0394","16","16","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","008","1","17:30 - 18:30","W","","","","","0482 0390","18","18","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","009","1","17:30 - 18:30","W","","","","","0482 0391","18","18","0004194820","P / HANNAH BAILEY"
"A1","250","SEM","010","1","17:30 - 18:30","W","","","","","0482 0374","15","15","0004194820","P / HANNAH BAILEY"
"A1","260","FLD","001","1","-","","","","","","ONLINE","","39","0006381604","P / VINYA MARIA CHERIAN"
"A1","260","FLD","001","1","-","","","","","","ONLINE","","39","0001265677","S / GREG DOWNEY"
"A1","315","SEM","001","1","16:30 - 18:30
M","","","","","","0046 6112","","10","0004194820","P / HANNAH BAILEY"
