"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"210
HIV: Sex, Society and Science","001","","32","3.113","34.4","21.9","15.6",".","15.6","9.4",".","3.1",".",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"751
Cell & Molec Biol of Aging","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Histopath for Scientists","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Pathogensis-Major Hum Diseases","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","33","3.977","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","052","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
