"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","3.989","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Found. Infant Mental Health","001","","25","3.938","60.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","36.0","."
"713
Reflective Practices IMH I","001","","25","4.000","68.0",".",".",".",".",".",".",".",".",".",".",".",".",".","32.0","."
"714
ACP Consultation I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","7","3.813","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"922","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","5","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Psychiat Clrk-VAH","Course Total","","4","***","","","","","","","","","","","","","","","",""
"946","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
