"TERM : 1192","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2018-2019","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"","PATHOLOGY AND LABORATOR","Section
#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"704","PATH","","","","","","","","","","","","","","","","","","","","","","",""
"704","PATH","204
Dept. Total","3.596","31.4","9.8","4.9","",".","2.5","1.5","",".","20.1","",".","26.0","",".","2.0","",".",".","2.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"704","PATH","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
