"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","2080","3.673","57.5","17.7","10.2","4.7","2.2","0.4","0.1","0.1","",".","7.0","",".",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","2.657","7.4","16.7","20.4","29.6","16.7","9.3",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","20","3.200","30.0","35.0","15.0","5.0","10.0",".","5.0",".","",".",".","",".",".","",".",".",".","."
"Junior","","13","2.885","15.4","23.1","23.1","15.4","15.4","7.7",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","6","3.692","66.7","16.7",".","16.7",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","93","2.877","17.2","21.5","18.3","21.5","14.0","6.5","1.1",".","",".",".","",".",".","",".",".",".","."
"Graduate","","20","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","296","3.947","94.6","4.4","1.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","726","3.445","42.3","17.8","10.5","5.9","3.0","0.3","0.3",".","",".","20.0","",".",".","",".",".",".","."
"Prof Yr 3","","787","3.558","41.3","22.6","13.3","4.1","1.0",".",".","0.3","",".","0.1","",".","17.3","",".",".",".","."
"Prof Yr 4","","294","3.878","84.7","9.9","3.7","0.7","0.7","0.3",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","2103","3.707","55.2","16.6","9.3","3.7","1.5","0.1","0.1","0.1","",".","6.9","",".","6.5","",".",".",".","."
"","Dept. Total","2216","3.673","54.0","16.7","9.6","4.4","2.0","0.4","0.1","0.1","",".","6.6","",".","6.1","",".",".",".","."
