"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.671","66.7","26.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"910","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
