"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","22","3.545","45.5","27.3","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","97","3.696","48.5","44.3","6.2",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","74","3.189","10.8","33.8","40.5","12.2","2.7",".",".",".",".",".",".",".",".",".",".","."
"","400
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
007","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","13","3.957","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
101","14","3.458","64.3","7.1",".",".","7.1",".","7.1",".",".",".",".",".","7.1","7.1",".","."
"","400
102","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
201","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","113","3.924","91.2","5.3",".",".","0.9",".","0.9",".",".",".",".",".","0.9","0.9",".","."
"Poverty and Social Welfare","420
001","17","3.471","11.8","70.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","18","3.722","61.1","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","44","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
010","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","441
011","10","3.400","60.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","441
020","9","3.444","11.1","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW with Ind, Fams, and Grps","Course Total","109","3.817","75.2","19.3","3.7","0.9",".",".","0.9",".",".",".",".",".",".",".",".","."
"","442
001","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","28","3.482","21.4","53.6","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","84","3.798","69.0","21.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","115","3.566","39.1","39.1","16.5","2.6",".","0.9",".","1.7",".",".",".",".",".",".",".","."
"Child Welfare","462
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
001","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
010","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
020","11","3.650","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"The Field of Social Work","Course Total","85","3.917","83.5","14.1","1.2",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"","606
010","33","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","606
020","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"Social Policy","Course Total","45","3.830","64.4","33.3",".",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"Ethnic and Racial Groups","640
001","63","3.635","41.3","44.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","644
001","19","3.611","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","24","3.692","45.8","50.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
030","26","3.712","53.8","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","50","3.701","50.0","42.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","Page 324 of 438",""
