"","919
012","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
041","","4","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","919
042","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","14","4.000","100.0",".","",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OPHTHALM
702","Dept. Total","","34","3.876","85.3","11.8","",".","",".","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","10","3.543","60.0","30.0","",".","",".","10.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","15","3.671","66.7","26.7","",".","",".","6.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","19","4.000","100.0",".","",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","19","4.000","100.0",".","",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","34","3.876","85.3","11.8","",".","",".","2.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
