"MED","","","","","","","","","","","","","","","","","","","",""
"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"911
Prehospital Selective","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"958","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"958","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Bedside Ultrasound","Course Total","","2","***","","","","","","","","","","","","","","","",""
"959","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"959","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","11","3.737","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","041","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","042","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Independent Study","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EMER MED
330","Dept. Total","","41","3.821","61.0","22.0","4.9",".",".",".",".","12.2",".",".",".",".",".",".",".","."
