"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","208","3.725","63.9","26.9","5.8","1.0",".","1.0","1.0","0.5",".",".",".",".",".",".",".","."
"Independent Reading","299
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
004","81","3.451","14.8","66.7","12.3","6.2",".",".",".",".",".",".",".",".",".",".",".","."
"","313
005","81","3.457","16.0","60.5","22.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","162","3.454","15.4","63.6","17.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","81","3.679","45.7","44.4","9.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","81","3.698","44.4","53.1","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","314
003","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","194","3.724","51.0","43.8","4.6",".","0.5",".",".",".",".",".",".",".",".",".",".","."
"","315
001","81","3.728","51.9","44.4","2.5",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"","315
002","81","3.772","58.0","38.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in a Nrsg Practice","Course Total","162","3.750","54.9","41.4","3.1",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","316
001","162","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
003","32","3.781","59.4","37.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","324
003","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
003","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
003","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","434
001","71","3.894","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","434
002","81","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","434
003","32","3.766","59.4","34.4","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty","Course Total","184","3.899","79.9","19.0","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435
001","71","3.887","77.5","22.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","435
002","81","3.883","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Practice","Course Total","152","3.885","77.0","23.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","436
007","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
008","68","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
010","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
012","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
013","55","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"","436
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","436
015","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","270","",".",".",".",".",".",".",".",".",".","99.6","0.4",".",".",".",".","."
"","437
001","71","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","437
002","81","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","Course Total","152","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","7","3.594","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
