"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"741","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","42","3.929","88.1","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","004","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","005","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","004","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","005","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","40","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","61","3.787","73.8","16.4","6.6",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"760","005","","56","3.821","80.4","12.5","3.6","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"760","115","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"760","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","252","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","280","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","286","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","131","3.813","77.9","13.7","5.3","0.8","1.5","0.8",".",".",".",".",".",".",".",".",".","."
"764","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"764","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"769","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","","2","***","","","","","","","","","","","","","","","",""
"961
Grad Sem Hlth-System Pharmacy","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
