"POPULATION HEALTH SCIENCE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth","451","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","","59","3.559","40.7","33.9","23.7",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","560","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","082","","14","3.889","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","084","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","20","3.909","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Public Hlth Info","660","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Qual-Hlth Care:Eval&Assurnc","703","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research","709","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrating Med and PH","712","001","","84","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Global Health Care Systems","718","001","","29","4.000","96.6",".",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Conspiracies in Public Health","721","001","","50","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Preparedness in Pub Hlth","729","009","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","787","002","","11","4.000","45.5",".",".",".",".",".",".",".",".",".",".",".","54.5",".",".","."
"Public Health Field Experience","788","001","","22","3.949","54.5","9.1",".",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"Biol Basis-Population Health","794","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","795","001","","50","3.290","24.0","28.0","30.0","18.0",".",".",".",".",".",".",".",".",".",".",".","."
"","795","002","","14","3.577","35.7","42.9","7.1","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Principles-Populatn Health Sci","","Course Total","","64","3.416","26.6","31.3","25.0","15.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Introduction to Epidemiology","797","005","","87","3.655","54.0","27.6","16.1",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Monitoring Population Health","803","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Epi: Causal Inference","805","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Politics of Health Policy","879","001","","23","3.289","8.7","43.5","17.4","13.0",".",".",".","4.3",".",".",".",".","13.0",".",".","."
"Special Topics-Epidemiology","904","004","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","915","050","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","","Course Total","","14","3.667","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
