"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","90","2.833","14.4","22.2","18.9","22.2","14.4","6.7","1.1",".",".",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","425","001","134","3.996","99.3","0.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pathways in Pharmacy Practice","461","001","134","3.981","97.0","2.2","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","146","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","490","002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","","Course Total","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525","033","139","3.939","93.5","2.9","2.2","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","66","3.555","45.5","30.3","12.1","4.5","4.5",".",".","3.0",".",".",".",".",".",".",".","."
"Clinical Pharmacokinetics","551","001","146","3.425","36.3","26.7","26.7","8.9","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","143","3.804","65.0","31.5","2.8","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","146","3.038","18.5","26.0","21.2","18.5","13.7","1.4","0.7",".",".",".",".",".",".",".",".","."
"Leadership Health-System Pharm","610","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","32","3.703","56.3","31.3","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practice Innovation I","628","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638","001","136","3.423","22.8","46.3","25.0","4.4","1.5",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653","001","136","3.548","35.3","43.4","16.9","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","136","3.368","33.1","24.3","27.9","12.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geriatrics","676","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","004","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","24","3.854","83.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","38","3.882","84.2","10.5","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 14, 2019","","","","","","","","","","","","","","","","","","","Page 424 of 438",""
