"","967
008","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
041","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Urology Clerkship-CSC","Course Total","","7","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Patient Ed. as Advocacy Strat.","974
007","","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"SURGERY
936","Dept. Total","","80","3.925","75.0","8.8","1.3","1.3","",".","",".","",".","11.3","",".",".","",".","",".","",".",".","2.5","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","10","3.962","80.0","10.0",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","10.0","."
"Senior","","","13","3.903","92.3",".",".","7.7","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","27","3.942","88.9","3.7",".","3.7","",".","",".","",".",".","",".",".","",".","",".","",".",".","3.7","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","50","3.925","68.0","10.0","2.0",".","",".","",".","",".","18.0","",".",".","",".","",".","",".",".","2.0","."
"Professionals","","","52","3.911","67.3","11.5","1.9",".","",".","",".","",".","17.3","",".",".","",".","",".","",".",".","1.9","."
"","Dept. Total","","80","3.925","75.0","8.8","1.3","1.3","",".","",".","",".","11.3","",".",".","",".","",".","",".",".","2.5","."
