"922
Radiation Oncology-CSC","010
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","001
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"990","022
2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total
3","***","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL
480","30
Dept. Total","4.000","83.3","",".","",".","",".","",".","",".","",".","3.3","",".",".",".","13.3",".",".",".","."
"Summary by Level","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","9","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","15","4.000","86.7","",".","",".","",".","",".","",".","",".",".","",".",".",".","13.3",".",".",".","."
"Undergraduates","26","4.000","92.3","",".","",".","",".","",".","",".","",".",".","",".",".",".","7.7",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","","","",".",".","100.0",".",".",".","."
"Prof Yr 4","2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","","","","","","","",".",".","50.0",".",".",".","."
"","Dept. Total
30","4.000","83.3","",".","",".","",".","",".","",".","",".","3.3","",".",".",".","13.3",".",".",".","."
