"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"Plastc&RecnstrSurgClerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"960
Transplantation Clerk-CSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Surgery-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"964
Thoracic Surgery Clerk-CSC","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"967","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Urology Clerkship-CSC","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"974
Patient Ed. as Advocacy Strat.","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"SURGERY
936","Dept. Total","","80","3.925","75.0","8.8","1.3","1.3",".",".",".","11.3",".",".",".",".",".",".","2.5","."
