"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","3","***","","","","","","","","","","","","","","","",""
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","18","3.986","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Clin Anesth Clerk-LaCrosse","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ANESTHES
148","Dept. Total","","36","3.992","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
