"Neuroscience Core Clerkship","812
041","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
041","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
042","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL
676","Dept. Total","","55","3.946","90.9","",".","3.6","",".","",".","",".","",".","",".","",".",".","",".","",".","1.8",".","3.6","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","7","3.813","85.7","",".","14.3","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","11","4.000","90.9","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","9.1",".",".","."
"Senior","","","31","4.000","96.8","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","3.2","."
"Undergraduates","","","49","3.973","93.9","",".","2.0","",".","",".","",".","",".","",".","",".",".","",".","",".","2.0",".","2.0","."
"Special","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","","5","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".","20.0","."
"Professionals","","","5","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".","20.0","."
"","Dept. Total","","55","3.946","90.9","",".","3.6","",".","",".","",".","",".","",".","",".",".","",".","",".","1.8",".","3.6","."
