"","920
045","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","920
046","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","18","3.986","94.4","5.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Clin Anesth Clerk-LaCrosse","921
043","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ANESTHES
148","Dept. Total","","36","3.992","97.2","2.8","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","6","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","29","3.990","96.6","3.4","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","30","3.991","96.7","3.3","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","36","3.992","97.2","2.8","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
