"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Contemporary Amer Society","125
001","320","3.002","15.3","28.4","20.9","21.3","10.6","1.3","1.9",".",".",".",".",".",".",".","0.3","."
"Social Problems","130
001","80","3.308","21.3","37.5","30.0","5.0",".","3.8",".","1.3",".",".",".",".",".","1.3",".","."
"Criminal Justice in America","131
002","122","2.796","10.7","13.1","32.8","15.6","23.8","1.6","0.8","1.6",".",".",".",".",".",".",".","."
"","134
001","184","3.360","25.0","35.3","27.2","9.8","1.1","0.5",".","1.1",".",".",".",".",".",".",".","."
"","134
002","96","3.124","10.4","30.2","33.3","11.5","6.3","1.0",".","7.3",".",".",".",".",".",".",".","."
"","134
003","74","3.138","27.0","25.7","16.2","13.5","2.7","6.8","1.4","5.4","1.4",".",".",".",".",".",".","."
"","134
004","63","3.150","28.6","27.0","20.6","4.8","7.9","1.6","4.8","4.8",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","417","3.254","22.5","31.2","25.7","10.1","3.6","1.9","1.0","3.8","0.2",".",".",".",".",".",".","."
"The Sociology of Gender","001
138","85","3.560","45.9","43.5","2.4","1.2","2.4","1.2","2.4","1.2",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","149","3.279","30.2","19.5","26.8","8.1","6.0","2.0",".","7.4",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
061","229","",".",".",".",".",".",".",".",".",".","86.9","13.1",".",".",".",".","."
"","199
016","16","3.734","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","18","3.764","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","65","3.129","21.5","29.2","21.5","13.8","4.6","1.5","3.1","3.1",".",".",".",".",".","1.5",".","."
"Survey of Sociology","210
001","129","3.136","25.6","23.3","26.4","13.2","7.8","2.3","1.6",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","85","2.876","14.1","25.9","27.1","10.6","12.9","7.1","2.4",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","12","2.708","16.7","16.7","16.7","8.3","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","52","3.510","36.5","34.6","17.3","5.8","1.9",".",".","1.9",".",".",".",".","1.9",".",".","."
"SE Asia:Vietnam to Philipns","244
001","11","3.200","27.3","36.4","18.2",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","001
248","12","3.042","25.0","25.0","25.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","13","3.213","30.8","7.7","30.8","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"People&Places:Demog-Rur Am","266
001","22","3.361","18.2","27.3","31.8","4.5",".",".",".",".",".",".",".",".","4.5","13.6",".","."
"Africa: Introductory Survey","277
001","34","2.632","14.7","2.9","29.4","14.7","26.5","8.8",".","2.9",".",".",".",".",".",".",".","."
"","357
001","39","3.122","25.6","23.1","23.1","12.8","12.8","2.6",".",".",".",".",".",".",".",".",".","."
"","002
357","33","3.485","30.3","48.5","18.2",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"","357
003","28","3.393","25.0","35.7","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","357
004","35","3.543","37.1","45.7","8.6","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","005
357","35","3.314","34.3","31.4","14.3","8.6","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"","357
006","31","3.645","51.6","32.3","9.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","201","3.406","33.8","35.8","17.4","7.0","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"","360
001","34","3.206","26.5","35.3","17.6","5.9","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"","002
360","29","3.069","10.3","27.6","31.0","27.6","3.4",".",".",".",".",".",".",".",".",".",".","."
"","360
003","23","2.783","21.7","30.4",".","4.3","30.4","13.0",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","86","3.047","19.8","31.4","17.4","12.8","14.0","3.5","1.2",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","27","3.463","37.0","40.7","14.8",".","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","001
375","21","3.524","42.9","23.8","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","208","3.138","24.0","23.1","23.6","16.3","8.2","1.4","1.0","2.4",".",".",".",".",".",".",".","."
"","475
001","20","2.650","5.0","30.0","15.0","20.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","475
002","29","2.845","20.7","3.4","31.0","27.6","13.8",".","3.4",".",".",".",".",".",".",".",".","."
"","003
475","29","2.750","17.2","27.6","13.8","10.3","13.8","13.8","3.4",".",".",".",".",".",".",".",".","."
