"PHM","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"PHM SCI
718","Dept. Total","885","3.034","25.8","13.0","28.8","12.9","13.1","1.6","",".","4.2","",".",".","",".","0.6","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.857","66.7","33.3",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","12","2.879","8.3","16.7","41.7","33.3",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","43","3.260","48.8","11.6","14.0","9.3","14.0","2.3","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","58","3.199","41.4","13.8","19.0","13.8","10.3","1.7","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","123","3.827","56.1","4.9","4.9",".",".",".","",".","30.1","",".",".","",".","4.1",".",".",".","."
"Prof Yr 1","","131","2.605","0.8","11.5","32.8","27.5","22.9","4.6","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","378","3.204","27.2","14.8","33.9","10.8","12.2","0.8","",".",".","",".",".","",".",".","0.3",".",".","."
"Prof Yr 3","","183","2.944","15.8","15.3","35.0","13.7","18.0","2.2","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","12","3.000","16.7","16.7","25.0","33.3","8.3",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","704","2.975","19.2","14.3","33.8","15.1","15.6","1.8","",".",".","",".",".","",".",".","0.1",".",".","."
"","Dept. Total","885","3.034","25.8","13.0","28.8","12.9","13.1","1.6","",".","4.2","",".",".","",".","0.6","0.1",".",".","."
