"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"","362
001","28","3.056","42.9","14.3","3.6","17.9","7.1","3.6","7.1","3.6",".",".",".",".",".",".",".","."
"","362
002","239","3.264","29.7","23.4","21.8","8.4","5.4","2.5","0.8","7.9",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","267","3.241","31.1","22.5","19.9","9.4","5.6","2.6","1.5","7.5",".",".",".",".",".",".",".","."
"","363
001","38","2.986","21.1","18.4","21.1","21.1","13.2",".","2.6","2.6",".",".",".",".",".",".",".","."
"","002
363","271","3.027","15.9","14.8","27.3","25.5","5.5","0.7","0.4","10.0",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","309","3.021","16.5","15.2","26.5","24.9","6.5","0.6","0.6","9.1",".",".",".",".",".",".",".","."
"Child Play-Development&Role","464
001","32","3.438","31.3","25.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","24","3.563","45.8","25.0","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470
001","26","3.654","50.0","38.5","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","51","3.598","41.2","41.2","15.7",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473
001","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","474
001","31","3.597","64.5","9.7","12.9","6.5","6.5",".",".",".",".",".",".",".",".",".",".","."
"","474
002","30","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","Course Total","61","3.730","70.5","14.8","8.2","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","501
001","30","3.483","26.7","43.3","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
501","22","3.795","90.9","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","501
003","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","501
004","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","80","3.694","63.8","21.3","12.5",".","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"","001
516","30","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","516
002","26","3.673","53.8","26.9","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","56","3.723","64.3","23.2","8.9",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","26","3.680","50.0","34.6","7.7","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"Family Perspctv-Policymakng","535
001","25","3.420","40.0","16.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sr Smr-Hum Devel & Fam Studies","566
001","25","3.880","88.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","601
002","33","3.670","66.7","15.2","12.1","3.0",".","3.0",".",".",".",".",".",".",".",".",".","."
"","601
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","35","3.689","68.6","14.3","11.4","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","662
001","30","3.717","56.7","30.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","22","3.636","54.5","22.7","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","8","3.932","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","29","3.962","89.7","6.9",".",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aging and the Family","763
001","14","3.679","85.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","766
001","9","3.917","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 143 of 396",""
