"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","19","3.447","57.9","15.8","15.8",".",".","10.5",".",".",".",".",".",".",".",".",".","."
"","002
105","","12","3.727","58.3","25.0",".","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","31","3.598","58.1","19.4","9.7","3.2",".","6.5",".","3.2",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","184","3.385","26.6","43.5","16.3","8.2","4.3",".","0.5","0.5",".",".",".",".",".",".",".","."
"","401
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
002","","8","3.703","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","8","3.818","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","72","3.926","88.9","6.9","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","","24","3.792","70.8","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","","17","3.588","58.8","5.9","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","441
004","","14","3.571","71.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Theory&Practice-Soc Work II","Course Total","","71","3.718","69.0","15.5","12.7","1.4",".",".","1.4",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","001
453","","203","3.740","75.9","8.9","3.4","3.9","2.5","1.5","0.5","3.4",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","76","3.908","89.5","6.6","1.3","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","25","3.700","44.0","52.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","579
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","52","3.692","63.5","25.0","7.7","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","627
001","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","72","3.819","72.2","19.4","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","45","3.691","46.7","13.3","8.9","4.4",".",".",".","26.7",".",".",".",".",".",".",".","."
"","644
002","","24","3.250","25.0","20.8","25.0",".","12.5",".",".","16.7",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","69","3.529","39.1","15.9","14.5","2.9","4.3",".",".","23.2",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","","29","3.724","55.2","34.5","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","78","3.224","32.1","19.2","28.2","2.6","17.9",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","001
656","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","13","3.792","53.8","38.5",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","001
661","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Senior Thesis","692
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 293 of 396",""
