"NUR","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","29","3.655","75.9","3.4","6.9","10.3",".","3.4",".",".",".",".",".",".",".",".",".","."
"","105
002","115","3.883","87.0","7.8","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","144","3.857","84.7","6.9","2.8","3.5","1.4","0.7",".",".",".",".",".",".",".",".",".","."
"Independent Reading","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","107","3.603","42.1","38.3","17.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","124","3.609","43.5","36.3","18.5","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","22","3.614","50.0","22.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","92","3.457","18.5","58.7","18.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
003","6","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","Course Total","111","3.477","19.8","59.5","17.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","109","3.849","76.1","17.4","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","6","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","115","3.826","72.2","20.9","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","107","3.757","57.0","38.3","3.7","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","6","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","113","3.730","54.0","38.9","6.2","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401
001","106","3.632","54.7","25.5","12.3","6.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415
001","108","3.935","88.0","11.1","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","61","3.893","80.3","18.0","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in School Nursing","472
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","19","4.000","68.4",".",".",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"","590
002","8","3.675","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
003","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","57","3.947","82.5","5.3","1.8",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","26","3.972","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
060","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
020","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
