"COMPARATIVE BIOSCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Biochemistry","502","001","","83","3.012","12.0","20.5","36.1","20.5","10.8",".",".",".",".",".",".",".",".",".",".","."
"Vet Neuroanatomy&Neurophys","505","001","","84","3.173","22.6","20.2","40.5","4.8","10.7","1.2",".",".",".",".",".",".",".",".",".","."
"Veterinary Physiology B","506","001","","80","3.356","17.5","46.3","28.8","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Anat-Lrge Domestic Animals","550","001","","83","3.166","26.5","21.7","24.1","12.0","15.7",".",".",".",".",".",".",".",".",".",".","."
"Fund of Vet Pharmacology","552","001","","80","3.163","16.3","16.3","55.0","8.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Toxicology","555","001","","80","2.949","15.0","17.5","32.5","12.5","20.0","1.3",".","1.3",".",".",".",".",".",".",".","."
"Basic & Clin Vet Therapeutics","556","001","","79","3.346","21.5","29.1","44.3","3.8",".",".",".",".",".",".",".",".","1.3",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","17","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.875","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
