"","699
001","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
291","","2","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indiv 4th Yr Clin Clerkship","919
008","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"OPHTHALM
702","Dept. Total","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","3","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
