"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","41","3.681","73.2","12.2","9.8","2.4",".",".","2.4",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","63","3.778","77.8","9.5","6.3","1.6",".",".","1.6","1.6",".",".",".",".","1.6",".",".","."
"724
Intermed Political Sociol","001","","12","3.944","66.7","8.3",".",".",".",".",".","16.7",".",".",".",".","8.3",".",".","."
"731
InterSocPsych-Group&Collect","001","","18","3.706","50.0","33.3","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"750
Research Methods-Sociology","001","","32","3.565","43.8","40.6","9.4",".",".",".","3.1",".",".",".",".",".",".",".","3.1","."
"754
Qual Research Methods-Sociol","001","","30","3.845","70.0","23.3","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"755
Methods-Qualitative Resch","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"875","003","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"875","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","28","3.887","67.9","21.4",".",".",".",".",".",".",".",".",".",".","10.7",".",".","."
"901
Smr: Topics in Current Soc","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Seminar-Social Change","001","","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"915
Seminar-Sociological Theory","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Smr-Compr Soc/Contemp Capitlsm","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Smr-Social Stratification","001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"924
Seminar-Political Sociology","001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Smr: Sociol-Econ Change","001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"952
Math&Stat Applications-Soc","001","","26","3.630","38.5","34.6","15.4",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"971
Smr:Topics-Demography&Ecol","001","","14","3.885","71.4","21.4",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"983
Rsch:Economic Sociology Wrkshp","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"984
Rsch:Sociol of Gender Trainees","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"987
Rsch: Race & Ethnic Studies","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 298 of 396",""
