"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110
001","","181","3.277","44.2","9.9","25.4","5.0","10.5","2.8","1.1",".",".",".",".",".",".","1.1",".","."
"Speech & Lang Functs-Brain","210
001","","120","3.146","24.2","17.5","38.3","8.3","9.2","2.5",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240
001","","166","2.880","23.5","11.4","29.5","9.6","14.5","7.2","2.4","0.6","1.2",".",".",".",".",".",".","."
"Speech Pathology II","318
001","","54","3.370","16.7","50.0","24.1","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320
001","","66","3.189","25.8","16.7","36.4","12.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371
001","","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","390
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425
001","","54","3.434","27.8","35.2","31.5","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Child Language Disorders","440
001","","83","3.361","34.9","21.7","33.7","4.8","3.6",".","1.2",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692
001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysarthria","711
001","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","717
001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
007","","14","3.905","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","52","3.951","90.4","9.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791
003","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology","Course Total","","15","3.844","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
021","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","799
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Com Dis Medical Setting","813
001","","34","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
