"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","","7","3.583","57.1",".","14.3","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Community Health Nursing","444
003","","14","3.808","71.4","7.1","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","490
022","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","73","3.714","58.9","24.7","11.0","2.7",".",".",".",".",".",".",".",".","2.7",".",".","."
