"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"812","081","","27","3.404","22.2","33.3","40.7",".",".",".",".",".","3.7",".",".",".",".",".",".","."
"812","082","","22","3.432","31.8","22.7","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","24","3.375","20.8","33.3","45.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","73","3.403","24.7","30.1","43.8",".",".",".",".",".","1.4",".",".",".",".",".",".","."
"910","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"920
Gen Surgery Clerkship-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","12","3.321",".","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"924
Gen Surg Clerkship-LaCrosse","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"926","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"926","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Surgery for the Non-Surgeon","Course Total","","12","3.458",".","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Surgery","Course Total","","3","***","","","","","","","","","","","","","","","",""
"939
Adt Orth-Fut Orth Clerk-CSC","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
