"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"308
People, Chemicals, Envrnmnt","001","","25","3.620","52.0","28.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","8","3.000","12.5","25.0","37.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Special Topics","029","","7","3.778","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Master's Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","26","3.820","65.4","26.9","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","23","3.630","56.5","13.0","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","11","3.091","54.5","18.2","9.1",".",".",".","18.2",".",".",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","9","3.643","22.2","55.6",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"904","001","","18","3.529","38.9","22.2","33.3",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"904","002","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Epidemiology","Course Total","","29","3.500","34.5","27.6","34.5",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"911
Epidemiol Elect-Div of Hlth","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","29","3.897","89.7",".","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
