"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Geriatric Pharmacotherapy","Course Total","35","3.371","22.9","40.0","34.3",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"Hematol&Oncol Pharmacother","726
002","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","740
005","24","3.813","70.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","22","3.705","63.6","18.2","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","46","3.761","67.4","19.6","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","005
741","24","3.833","79.2","8.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","43","3.894","86.0","7.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","74","3.770","79.7","4.1","10.8","4.1",".","1.4",".",".",".",".",".",".",".",".",".","."
"","760
006","74","3.831","81.1","10.8","5.4","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"","760
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
105","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
106","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
115","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","160","3.805","80.6","8.1","7.5","2.5",".","1.3",".",".",".",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","5","***","","","","","","","","","",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1238","3.570","59.5","15.9","15.5","5.4","2.1","0.2","0.5","0.6",".",".",".",".","0.2",".",".","."
