"","490
025","","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","490
028","","3","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics in Nursing","Course Total","","17","3.735","52.9","41.2","5.9",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CNP
691","Dept. Total","","73","3.714","58.9","24.7","11.0","2.7","",".","",".","",".","",".","",".",".","",".","",".","2.7",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","27","3.700","51.9","29.6","11.1",".","",".","",".","",".","",".","",".",".","",".","",".","7.4",".",".","."
"Junior","","","19","3.533","47.4","26.3","15.8","10.5","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","26","3.832","73.1","19.2","7.7",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","73","3.714","58.9","24.7","11.0","2.7","",".","",".","",".","",".","",".",".","",".","",".","2.7",".",".","."
"","Dept. Total","","73","3.714","58.9","24.7","11.0","2.7","",".","",".","",".","",".","",".",".","",".","",".","2.7",".",".","."
