"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544","001","","81","3.920","87.7","8.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology I","545","001","","82","3.012","11.0","15.9","46.3","18.3","8.5",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546","001","","73","3.171","16.4","24.7","42.5","9.6","6.8",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","73","2.616","6.8","4.1","35.6","15.1","37.0","1.4",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","73","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638","001","","73","3.089","9.6","21.9","50.7","12.3","5.5",".",".",".",".",".",".",".",".",".",".","."
"","642","001","","44","4.000","15.9",".",".",".",".",".",".","84.1",".",".",".",".",".",".",".","."
"","642","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","48","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","18","4.000","27.8",".",".",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"","645","001","","41","4.000","61.0",".",".",".",".",".",".","39.0",".",".",".",".",".",".",".","."
"","645","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","44","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","30","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","21","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","675","002","","23","4.000","26.1",".",".",".",".",".",".","73.9",".",".",".",".",".",".",".","."
"","675","004","","31","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"","675","008","","23","4.000","13.0",".",".",".",".",".",".","87.0",".",".",".",".",".",".",".","."
"","675","010","","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","115","4.000","13.0",".",".",".",".",".",".","87.0",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","73","3.301","1.4","58.9","38.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","51","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","16","3.952","43.8","6.3",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","36","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744","001","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750","001","","35","4.000","94.3",".",".",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Large Animal Radiol Elective","751","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Radiol Elective","752","001","","20","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 391 of 396",""
