"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"History of Modern Biology","333
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Childbirth in the US","431
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health&Soc Welfare-West Soc","444
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508
001","9","3.278","22.2","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","20","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","30","3.345","26.7","20.0","43.3","6.7",".",".",".","3.3",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720
001","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Reading and Research","890
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Science in America","915
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","123","3.472","27.6","21.1","23.6","4.9",".",".",".","22.8",".",".",".",".",".",".",".","."
