"Pediatric Sports Med-CSC","966
044","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
070","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
073","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT
708","Dept. Total","","94","3.575","37.2","47.9","12.8",".","",".","",".","1.1","",".","",".",".","",".","",".","",".",".","1.1","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","1","",".",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Undergraduates","","","2","4.000","50.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".","50.0","."
"Graduate","","","2","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","2","3.750","50.0","50.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","3.500",".","100.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","77","3.556","33.8","51.9","13.0",".","",".","",".","1.3","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","10","3.667","50.0","30.0","20.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","90","3.569","35.6","50.0","13.3",".","",".","",".","1.1","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","94","3.575","37.2","47.9","12.8",".","",".","",".","1.1","",".","",".",".","",".","",".","",".",".","1.1","."
