"RISK MANAGEMENT AND INSUR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"300
001
Principles-Risk Management","233","3.017","25.3","15.0","27.9","8.2","20.6","1.3","1.3","0.4",".","",".",".","",".","",".","",".",".","."
"365
001","18","3.563","33.3","33.3","22.2",".",".",".",".","11.1",".","",".",".","",".","",".","",".",".","."
"365
002","11","3.944","72.7","9.1",".",".",".",".",".","18.2",".","",".",".","",".","",".","",".",".","."
"Course Total
Contemporary Topics","29","3.700","48.3","24.1","13.8",".",".",".",".","13.8","",".",".","",".","",".","",".",".",".","."
"399
039
Rdg&Rsch-Risk Management","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"615
001
Liability Risk Management","49","3.357","30.6","20.4","40.8","6.1","2.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"620
001
Employee Benefits Managemnt","68","3.104","17.6","11.8","51.5","8.8","8.8",".",".","1.5",".","",".",".","",".","",".","",".",".","."
"625
001
Government Insurance Progs","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"765
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"765
002","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Contemporary Topics","12","3.958","91.7","8.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"820
001
Risk Mgmt Info Systems","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"875
001
Smr-Risk Managemnt&Insuranc","7","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"990
039
PhD Thesis-Risk&Insurance","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"R M I
Dept. Total
241","426","3.200","31.7","15.3","30.0","6.6","12.9","0.7","0.7","2.1","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","27","2.907","29.6","14.8","14.8","11.1","22.2","3.7","3.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","137","3.073","26.3","17.5","27.0","7.3","20.4","0.7","0.7",".","",".",".","",".","",".","",".",".",".","."
"Senior","207","3.194","26.1","16.4","37.2","6.8","9.7","0.5","0.5","2.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","371","3.127","26.4","16.7","31.8","7.3","14.6","0.8","0.8","1.6","",".",".","",".","",".","",".",".",".","."
"Special","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","54","3.745","68.5","5.6","18.5","1.9",".",".",".","5.6","",".",".","",".","",".","",".",".",".","."
"Dept. Total","426","3.200","31.7","15.3","30.0","6.6","12.9","0.7","0.7","2.1","",".",".","",".","",".","",".",".",".","."
