"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","812
041","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
042","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","043
812","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","044
812","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","045
812","","12","3.667","58.3","16.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","046
812","","12","3.944","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","72","3.788","69.4","18.1","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","922
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","924
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","924
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","4","***","","","","","","","","","","","","","","","",""
