"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","061","","19","3.579","31.6","52.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","19","3.711","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","19","3.500","15.8","68.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","18","3.417","27.8","61.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","75","3.553","32.0","54.7","12.0",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"920","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929
Gen Outpatient Peds-Marshfl","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Peds Sub-Intrn Newborn-Milw","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Adolescent Med Clerk-CSC","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"956
Hematol-Oncology Clerk-CSC","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966
Pediatric Sports Med-CSC","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
