"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"426
Intro-Pharm Care Clrkshp II","001","","132","3.962","97.0",".","2.3",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"441
Therpeutcs-PAs&Adv Prac Nur,II","001","","30","3.033","10.0","6.7","70.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","7","3.625","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"526
Intro-Phmceut Care Clrk IV","056","","131","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","139","2.759","9.4","10.8","35.3","28.8","11.5",".","4.3",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","135","3.556","25.9","60.7","10.4","2.2",".",".",".",".",".",".",".",".","0.7",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","117","3.940","94.0",".","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","23","3.500","34.8","30.4","26.1","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","117","3.162","13.7","28.2","40.2","12.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"664","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670","001","","10","3.786","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"670","002","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","Course Total","","17","3.810","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","29","3.810","75.9","10.3","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","002","","7","3.676","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","36","3.788","72.2","13.9","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Health Pharmacother","Course Total","","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","27","4.000","92.6",".",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"710","001","","32","3.438","21.9","43.8","34.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 383 of 396",""
