"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","",""
"Course Total
Research","13","",".",".",".",".",".","",".",".","84.6",".",".",".","15.4",".",".",".","."
"POP HLTH
Dept. Total
810","213","3.617","51.6","20.7","14.6","0.9","1.4","",".","0.9","8.5",".",".",".","0.9","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior","9","3.778","77.8",".","22.2",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Senior","18","3.341","44.4","22.2","11.1","11.1","11.1","",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","29","3.476","51.7","20.7","13.8","6.9","6.9","",".",".",".",".",".",".",".",".",".",".","."
"Special","17","3.229","29.4","23.5","23.5",".",".","",".","5.9","17.6",".",".",".",".",".",".",".","."
"Graduate","131","3.615","44.3","25.2","15.3",".","0.8","",".","0.8","11.5",".",".",".","1.5","0.8",".",".","."
"Prof Yr 1","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","7","3.921","85.7","14.3",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","27","3.893","88.9",".","11.1",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Professionals","36","3.905","88.9","2.8","8.3",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","213","3.617","51.6","20.7","14.6","0.9","1.4","",".","0.9","8.5",".",".",".","0.9","0.5",".",".","."
