"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"105","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","6","3.778","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","42","3.619","64.3",".","31.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"414
Pharmacy in Health Care System","001","","131","2.992","10.7","29.0","21.4","27.5","10.7","0.8",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Soc&Adm Phcy","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","133","3.222","14.3","33.8","36.1","15.0",".","0.8",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Pharm Finance&Reimbursement","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","117","3.786","69.2","21.4","6.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","14","3.538","71.4","14.3","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","22","3.690","81.8","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"715
Soc Behav Theories in Pharm","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"716
Adv Hospital Phm Admin","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"999
Advanced Independent Study","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","495","3.363","38.6","22.6","20.2","12.7","2.8","0.4","0.2","2.0",".",".",".","0.2","0.2",".",".","."
