"","985
044","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Critical Care Medicine-CSC","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","",""
"Clin Elect Rheumtol-CSC/VAH","988
043","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","990
081","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"MEDICINE
632","Dept. Total","256","3.517","32.8","28.5","18.8","0.8","",".","",".","",".","16.0","",".",".","",".","3.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","6","3.875","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","9","3.917","77.8","22.2",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 1","","3","3.265",".","66.7","33.3",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","16","3.882","31.3","6.3",".",".","",".","",".","",".","12.5","",".",".","",".","50.0","",".",".",".","."
"Prof Yr 3","","94","3.421","27.7","35.1","36.2","1.1","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","134","3.672","34.3","26.1","9.7","0.7","",".","",".","",".","29.1","",".",".","",".",".","",".",".",".","."
"Professionals","","247","3.507","31.2","28.7","19.4","0.8","",".","",".","",".","16.6","",".",".","",".","3.2","",".",".",".","."
"","Dept. Total","256","3.517","32.8","28.5","18.8","0.8","",".","",".","",".","16.0","",".",".","",".","3.1","",".",".",".","."
