"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300","001","","32","3.438","28.1","37.5","28.1","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"300","002","","31","3.726","71.0","12.9","9.7","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"300","003","","31","3.767","61.3","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"300","004","","34","3.294","44.1","23.5","5.9","11.8","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"School and Society","Course Total","","128","3.547","50.8","25.0","13.3","5.5","3.9",".","0.8",".",".",".",".",".",".",".","0.8","."
"412
History-American Education","001","","40","3.113","17.5","22.5","37.5","10.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"479
Paideia:Ed in Westrn Cultur","001","","19","3.973","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","9","3.438","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"550
Philos of Moral Education","001","","23","3.684","47.8","21.7","8.7","4.3",".",".",".",".",".",".",".",".","13.0","4.3",".","."
"560
Gender and Education","001","","15","3.233","13.3","33.3","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"700","001","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"700","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium-Ed Pol Studies","Course Total","","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"736
The Sociology of Teaching","001","","30","3.815","60.0","26.7","3.3",".",".",".",".",".",".",".",".",".","6.7","3.3",".","."
"755
Methods-Qualitative Resch","001","","11","3.857","45.5","18.2",".",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"765
Issues in Educ Policy Analysis","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"805
Gender Issues-Intl Educ Policy","001","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"830
Financng Elem&Secondry Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Smr-Anthropology&Education","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","37","",".",".",".",".",".",".",".","86.5","2.7",".",".","10.8",".",".",".","."
"999","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
