"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
812","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","9","3.333","11.1","44.4","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","13","3.385","30.8","15.4","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
812","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
008","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","62","3.387","27.4","22.6","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","920
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","930
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
009","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
010","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","60","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
