"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"","110","001","86","3.366","37.2","26.7","20.9","7.0","5.8","2.3",".",".",".",".",".",".",".",".",".","."
"","110","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Communicative Dis","","Course Total","88","3.381","38.6","26.1","20.5","6.8","5.7","2.3",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","65","3.485","52.3","16.9","15.4","6.2","9.2",".",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","68","3.331","57.4","8.8","16.2","4.4","5.9","1.5","5.9",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210","001","135","3.504","51.9","20.0","14.8","5.2","5.2",".","1.5",".",".",".",".",".",".","0.7","0.7","."
"Lang Devlp-Chld & Adolescnt","240","001","62","3.476","48.4","22.6","12.9","11.3","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","106","3.212","15.1","34.0","34.0","14.2","1.9","0.9",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","124","3.875","83.1","12.1","3.2",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","59","3.339","22.0","37.3","27.1","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","121","3.661","58.7","18.2","19.8","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","44","3.818","77.3","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","14","3.960","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","22","3.341","45.5","18.2","13.6","4.5","18.2",".",".",".",".",".",".",".",".",".",".","."
"","699","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","58","3.745","74.1","8.6","6.9","1.7","6.9","1.7",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","28","3.893","82.1","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Schl Mthd,Procedr:Sp/Lang Path","714","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","9","3.857","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","790","003","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","15","3.864","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 190 of 409",""
