"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"370
Publ Hlth:Local-Globl Perspect","001","","260","3.479","37.7","36.2","18.1","5.0","1.9",".","1.2",".",".",".",".",".",".",".",".","."
"471
Intro-Environmental Health","001","","44","3.580","45.5","27.3","25.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","22","3.714","50.0","36.4","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"640","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"640","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640","006","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","Course Total","","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645
Global Health Field Course","060","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"650","063","","36","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","070","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","074","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","57","3.845","78.9","14.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","14","3.983","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"740
Hlth Impact of Global Envr Chg","001","","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Health Sys, Mngmnt, & Policy","001","","40","3.550","32.5","47.5","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"786
Social & Behav Sci-Public Hlth","002","","45","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
MPH Field Experience Seminar","001","","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"788
Public Health Field Experience","001","","13","3.773","23.1","15.4",".",".",".",".",".",".",".",".",".",".","61.5",".",".","."
"791
Physical Activity Epidemiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","27","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","009","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"904","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 375 of 409",""
