"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"404","001","","299","3.455","36.8","32.4","19.7","9.4","0.3","0.3","0.7","0.3",".",".",".",".",".",".",".","."
"404","002","","35","3.273","45.7","17.1","5.7","17.1",".","5.7","2.9","5.7",".",".",".",".",".",".",".","."
"Pathophys Princ-Hum Disease","Course Total","","334","3.437","37.7","30.8","18.3","10.2","0.3","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"750","001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"750","002","","8","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellulr & Moleclr Biol/Path","Course Total","","22","3.414","22.7","27.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","48","",".",".",".",".",".",".",".",".",".","97.9",".",".",".",".","2.1","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 363 of 409",""
