"BUS","","","","","","","","","","","","","","","","","","","",""
"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"300
Principles-Risk Management","001","","174","3.009","23.0","10.9","36.2","9.2","17.8","1.7","0.6",".",".",".",".",".","0.6",".",".","."
"365","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"365","002","","13","3.417","15.4","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Contemporary Topics","Course Total","","28","3.588","60.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"399","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","070","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Property Risk Management","001","","50","3.500","34.0","34.0","28.0",".","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"615
Liability Risk Management","001","","43","3.523","39.5","32.6","23.3","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"640
Mgt-Insurance Enterprise","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Managing Legal Risks","001","","34","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"765","031","","33","3.766","54.5","39.4","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Contemporary Topics","Course Total","","38","3.764","55.3","34.2","5.3",".",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"875
Smr-Risk Managemnt&Insuranc","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","5","***","","","","","","","","","","","","","","","",""
"R M I
241","Dept. Total","","396","3.350","39.4","19.9","24.2","4.3","8.3","0.8","0.3","1.5",".",".",".","0.3","0.8",".","0.3","."
