"THERAPEUTIC SCI (DEPT-KINES Section","#","","Ave","A","AB","B","","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105
001
Health Care: Intrdis Appr","","15","3.700","73.3","20.0","",".",".","",".","6.7",".","",".","",".","",".",".","",".","",".","",".",".","."
"THER SCI
Dept. Total
939","","15","3.700","73.3","20.0","",".",".","",".","6.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.500",".","100.0","",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","6","3.917","83.3","16.7","",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","3","4.000","100.0",".","",".",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","5","3.300","60.0","20.0","",".",".","",".","20.0","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","15","3.700","73.3","20.0","",".",".","",".","6.7","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","15","3.700","73.3","20.0","",".",".","",".","6.7","",".","",".","",".",".","",".","",".","",".",".",".","."
