"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542
001","77","3.519","54.5","9.1","26.0","6.5","3.9",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544
001","76","3.678","57.9","19.7","22.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Anesthesiology","547
001","76","3.520","40.8","25.0","31.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642
001","38","4.000","23.7",".",".",".",".",".",".","76.3",".",".",".",".",".",".",".","."
"","642
002","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","44","4.000","22.7",".",".",".",".",".",".","77.3",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","001
644","18","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","645
001","44","4.000","45.5",".",".",".",".",".",".","54.5",".",".",".",".",".",".",".","."
"","645
002","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","53","4.000","49.1",".",".",".",".",".",".","50.9",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","33","4.000","39.4",".",".",".",".",".",".","60.6",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","25","4.000","36.0",".",".",".",".",".",".","64.0",".",".",".",".",".",".",".","."
"","675
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
675","77","2.974","14.3","28.6","22.1","15.6","15.6","3.9",".",".",".",".",".",".",".",".",".","."
"","675
004","44","4.000","56.8",".",".",".",".",".",".","43.2",".",".",".",".",".",".",".","."
"","675
010","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","175","3.144","27.4","12.6","9.7","6.9","6.9","1.7",".","34.9",".",".",".",".",".",".",".","."
"Special Species Health","676
001","77","3.584","51.9","20.8","23.4",".","3.9",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677
001","58","4.000","91.4",".",".",".",".",".",".","8.6",".",".",".",".",".",".",".","."
"","699
003","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","23","4.000","65.2",".",".",".",".",".",".","34.8",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","33","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","14","4.000","78.6",".",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","18","4.000","88.9",".",".",".",".",".",".","5.6",".",".",".",".",".",".","5.6","."
"Sm Animal Ultrasound Elective","750
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 406 of 409",""
