"PHM","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Pharmacy","401
001","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy in Health Care System","414
001","133","3.023","6.0","23.3","45.1","20.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Law and Regulation","511
001","135","3.219","17.8","26.7","37.8","17.0","0.7",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharm Communicatn:Edu&Behav","652
001","125","3.788","60.0","37.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
065","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Behav Theories in Pharm","715
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Adv Hospital Phm Admin","716
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Seminar in SAS","912
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
"Advanced Independent Study","999
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","451","3.348","33.3","25.7","25.7","11.1","1.8",".",".","2.0",".",".",".","0.2","0.2",".",".","."
