"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"Biology & Society, 1950-Today","133
001","48","3.375","33.3","31.3","16.7","14.6","4.2",".",".",".",".",".",".",".",".",".",".","."
"Bodies, Diseases, and Healers","212
001","37","3.108","16.2","18.9","43.2","13.5","8.1",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213
001","171","3.351","25.1","25.1","45.6","2.9","1.2",".",".",".",".",".",".",".",".",".",".","."
"Justice and Health Care","505
001","18","3.588","55.6","27.8",".","5.6",".","5.6",".",".",".",".",".",".",".",".","5.6","."
"Health, Disease&Healing II","508
001","8","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Ethics","515
001","16","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","28","3.679","60.7","28.6","7.1",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531
001","6","3.500","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Ethical Issues in Health Care","558
001","32","3.629","40.6","40.6","15.6",".",".",".",".",".",".",".",".",".",".",".","3.1","."
"Byzantine Med & Pharmacy","562
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Regenerative Medicine Ethics","610
001","6","3.571","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","20","3.711","40.0","55.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Ethical Issues in Medicine","Course Total","26","3.780","53.8","42.3",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Grad Studies-Medical Hist","919
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","423","3.442","35.7","28.6","27.7","4.5","1.7","0.5",".","0.5",".",".",".",".","0.5",".","0.5","."
