"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140
001","","35","3.571","48.6","34.3","11.4",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","","35","3.382","42.9","20.0","14.3","14.3","2.9","2.9",".",".",".",".",".",".","2.9",".",".","."
"The Sociological Enterprise","211
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","","22","2.750","13.6","4.5","40.9","18.2","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","248
001","","23","3.652","56.5","21.7","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","248
002","","32","3.406","37.5","31.3","18.8","6.3","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","","55","3.509","45.5","27.3","18.2","5.5","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340
001","","23","3.843","65.2","30.4",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","357
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
357","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","357
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","33","3.258","6.1","63.6","21.2","6.1",".",".","3.0",".",".",".",".",".",".",".",".","."
"","360
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
360","","7","3.071","14.3","14.3","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","360
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","16","2.969","12.5","25.0","37.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","","20","3.575","50.0","25.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
375","","9","3.969","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
006","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","56","3.743","78.6","12.5","5.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399
025","","6","3.789","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","7","3.800","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","001
540","","23","3.696","60.9","26.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","001
565","","12","2.875","8.3","16.7","33.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578
001","","9","3.389","55.6","22.2",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"Gender, Society & Politics","623
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630
001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Modern American Communities","645
001","","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Analysis & Research","693
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","","Page 42 of 409"
