"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","291","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","292","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","295","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.956","88.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
