"COLLABORATIVE NURSING PRG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444
003","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
022","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","13","3.487","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","119","3.864","79.0","14.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
