"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","11","3.409","9.1","63.6","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","25","3.540","24.0","60.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","2","***","","","","","","","","","","","","","","","",""
"930
Geriatric Psychiat Clrk-VAH","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Child Psych Clerk-CSC","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","40","3.638","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
