"PHYSICIAN ASSISTANT PROGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"","602
001","","31","3.633","38.7","45.2","12.9",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","002
602","","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Medicine II","Course Total","","42","3.585","35.7","45.2","14.3","2.4",".",".",".",".",".",".",".",".","2.4",".",".","."
"","603
001","","29","3.190",".","48.3","41.4","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","","9","3.444",".","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatrics","Course Total","","38","3.250",".","57.9","34.2","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"","611
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","611
002","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Prev & Community Prac II","Course Total","","60","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
001","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","618
002","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Seminar III","Course Total","","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","001
621","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
621","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patient Eval-Prim Care II","Course Total","","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
001","","31","3.183","3.2","35.5","51.6","6.5",".",".",".",".",".",".",".",".","3.2",".",".","."
"","641
002","","11","3.136",".","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacology II","Course Total","","42","3.171","2.4","38.1","47.6","9.5",".",".",".",".",".",".",".",".","2.4",".",".","."
"","648
001","","29","3.207","6.9","37.9","44.8","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
648","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Medicine","Course Total","","38","3.250","10.5","39.5","39.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","001
651","","31","3.387","3.2","71.0","25.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","11","3.318","9.1","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods II","Course Total","","42","3.369","4.8","66.7","26.2","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","660
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Skills Laboratory","Course Total","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","002
699","","9","3.636","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.667","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","718
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","718
002","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Profess'l Smnr & Capstone II","Course Total","","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","729
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","739
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","001
749","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","749
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Int Med","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","759
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","759
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phys Asst Precptrshp: Emrg Med","Course Total","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
769","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 369 of 409",""
