"","490
034","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","490
035","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics in Nursing","Course Total","13","3.487","30.8","38.5","30.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Capstone Practicum for RN's","519
001","16","4.000","100.0",".",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CNP
691","Dept. Total","119","3.864","79.0","14.3","6.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.893","80.0","20.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","102","3.858","78.4","13.7","7.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","119","3.864","79.0","14.3","6.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","119","3.864","79.0","14.3","6.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
