"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","318","3.236","20.4","34.3","23.6","13.8","7.2",".",".","0.3",".",".",".",".","0.3",".",".","."
"Criminal Justice in America","131
001","75","3.100","21.3","17.3","30.7","21.3","9.3",".",".",".",".",".",".",".",".",".",".","."
"","134
001","206","3.639","49.0","33.5","13.6","2.4","1.0",".",".",".",".",".",".",".","0.5",".",".","."
"","134
002","197","3.613","61.4","20.8","6.1","4.1","5.1","0.5","1.0","1.0",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","403","3.626","55.1","27.3","9.9","3.2","3.0","0.2","0.5","0.5",".",".",".",".","0.2",".",".","."
"The Sociology of Gender","001
138","90","3.106","27.8","13.3","32.2","14.4","8.9","2.2","1.1",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140
001","58","3.336","41.4","32.8","6.9","6.9","5.2","5.2","1.7",".",".",".",".",".",".",".",".","."
"Directed Study","198
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
166","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
287","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","001
200","66","3.038","24.2","22.7","22.7","15.2","7.6","6.1","1.5",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","83","3.457","36.1","36.1","16.9","3.6","4.8","1.2",".",".",".",".",".",".",".",".","1.2","."
"The Sociological Enterprise","211
001","57","3.304","19.3","47.4","12.3","12.3","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","43","3.095","27.9","9.3","32.6","9.3","18.6",".",".",".",".",".",".",".","2.3",".",".","."
"Ethnic Movements in U.S.","220
001","45","3.318","31.1","31.1","24.4","4.4","2.2","2.2","2.2",".",".",".",".",".",".",".","2.2","."
"Envir, Nat Resources & Society","248
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","23","2.955","13.0","26.1","34.8","8.7","4.3","4.3","4.3",".",".",".",".",".",".","4.3",".","."
"Human Sexuality","350
001","126","3.049","24.6","16.7","26.2","11.9","14.3","4.0",".","2.4",".",".",".",".",".",".",".","."
"","357
001","25","3.140","20.0","20.0","44.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","357
002","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","16","3.438","37.5","31.3","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","357
004","16","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","21","3.500","19.0","61.9","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
006","13","3.167","15.4","53.8","7.7","7.7",".",".","7.7",".",".",".",".",".",".","7.7",".","."
"","007
357","16","3.156","12.5","43.8","31.3",".","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","357
008","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","357
009","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","152","3.381","26.3","40.1","24.3","5.3","1.3","1.3","0.7",".",".",".",".",".",".","0.7",".","."
"","360
001","25","3.080","20.0","28.0","24.0","12.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"","002
360","33","2.682","15.2","21.2","12.1","18.2","24.2","3.0","6.1",".",".",".",".",".",".",".",".","."
"","003
360","24","3.104","37.5","12.5","20.8","8.3","12.5","8.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","82","2.927","23.2","20.7","18.3","13.4","17.1","4.9","2.4",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","27","3.481","33.3","33.3","22.2","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
001","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Criminology","441
001","130","2.857","25.4","16.9","17.7","11.5","17.7","5.4","4.6","0.8",".",".",".",".",".",".",".","."
"","475
001","30","3.071","20.0","30.0","10.0","10.0","23.3",".",".",".",".",".",".",".","6.7",".",".","."
"","475
003","13","3.512","30.8","38.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 307 of 409",""
