"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","39","3.158","33.3","12.8","28.2","12.8","2.6","7.7",".",".","2.6",".",".",".",".",".",".","."
"Pharm Practice Experience II","426","001","134","3.963","93.3","6.0","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","490","003","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526","056","134","3.978","96.3","3.0","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556","001","134","3.301","15.7","41.8","32.1","9.0",".",".","0.7",".",".",".",".",".",".",".","0.7","."
"Drug Literature Evaluation","570","001","133","3.763","74.4","14.3","5.3","1.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612","001","8","3.250","25.0","37.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626","056","125","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","92","3.284","13.0","15.2","20.7","3.3","3.3",".",".","44.6",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656","001","132","3.235","13.6","36.4","35.6","12.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673","001","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars-Psychiatric Pharmacy","674","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","077","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","087","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","34","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".","2.9","."
"Geriatric Pharmacotherapy","710","001","21","3.650","52.4","28.6","4.8","9.5",".",".",".","4.8",".",".",".",".",".",".",".","."
"","740","005","24","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","006","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","43","3.744","65.1","18.6","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","","Course Total","39","3.936","89.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760","005","74","3.804","74.3","14.9","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","760","006","84","3.780","73.8","15.5","6.0","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","760","105","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","","Course Total","160","3.792","74.4","15.0","6.9","2.5","1.3",".",".",".",".",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","764","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 397 of 409",""
