"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","77","2.993","24.7","13.0","28.6","9.1","20.8","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"","100","002","78","2.779","19.2","12.8","21.8","10.3","28.2","5.1","1.3","1.3",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","155","2.886","21.9","12.9","25.2","9.7","24.5","3.2","1.3","1.3",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","113","2.814","14.2","21.2","17.7","15.0","24.8","2.7","1.8",".",".",".",".",".",".",".","2.7","."
"","104","001","311","3.133","19.9","29.9","25.7","15.4","4.8","3.5","0.6",".",".",".",".",".",".",".",".","."
"","104","002","391","3.153","25.8","27.1","21.5","14.8","6.1","3.3","1.3",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","702","3.145","23.2","28.3","23.4","15.1","5.6","3.4","1.0",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105","001","305","3.277","39.3","23.3","16.4","10.8","3.9","2.6","3.0","0.7",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","54","2.806","22.2","7.4","25.9","5.6","35.2","3.7",".",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","16","3.167","18.8","37.5","12.5","6.3","18.8",".",".",".",".",".",".",".","6.3",".",".","."
"Africa: Introductory Survey","277","001","20","3.184","10.0","35.0","35.0","10.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","39","3.737","64.1","17.9","12.8","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"Intro Ling-Descript&Theoret","301","001","16","3.219","25.0","25.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","10","2.600","20.0",".","40.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","40","2.974","27.5","12.5","20.0","22.5","7.5","5.0","2.5","2.5",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","46","3.184","26.1","6.5","32.6","6.5","10.9",".",".","15.2",".",".",".",".",".",".",".","2.2"
"Topics in Ethnology","330","001","11","3.750","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1","9.1",".","."
"Prehistory of Africa","333","001","15","3.500","46.7","13.3","20.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Anthropology","365","001","32","3.770","84.4","3.1","9.4",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","22","2.636",".","13.6","31.8","31.8","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of Law","448","001","22","3.250","4.5","50.0","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","17","3.618","64.7","17.6","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","31","3.565","54.8","22.6","12.9","6.5",".","3.2",".",".",".",".",".",".",".",".",".","."
"Folklore-Festivls&Celebratn","539","001","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Anthropology and Education","570","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Probs-Paleoanthro","605","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Nations&Nationalism","606","001","22","3.763","54.5","36.4","4.5",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"","682","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Problems in Anthropology","690","001","6","3.786","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Archaeologic Meth-Curation","696","078","7","3.000","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 165 of 409",""
