"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Women&Leadershp-Med, Sci, Engr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","163","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","216","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","232","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","243","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","251","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","103","3.992","93.2","1.9",".",".",".",".",".",".",".",".",".",".",".",".","4.9","."
"701
Cell Signals and Human Disease","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","22","3.476","36.4","18.2","40.9",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"Prin Int Med-Basic Clrkship","Course Total","","23","3.488","39.1","17.4","39.1",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"910
Indep Rdg & Rsch-4th Yr Med","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Clinical Therapeutics","081","","107","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 351 of 409",""
