"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Internatl Trade & Finance","464","001","110","3.042","20.9","14.5","31.8","19.1","10.0","0.9","0.9",".",".",".",".",".",".","1.8",".","."
"Econ Probs-Developing Areas","474","001","35","3.286","34.3","28.6","11.4","11.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Economics of Growth","475","001","26","3.481","34.6","38.5","15.4","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Markets with Frictions","503","001","39","3.923","87.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521","001","53","3.179","22.6","17.0","45.3","11.3","1.9",".","1.9",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","133","3.034","21.8","18.0","24.8","23.3","7.5","3.0","0.8",".",".",".",".",".","0.8",".",".","."
"Economics of Education","525","001","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Natural Resource Economics","531","001","18","3.306","27.8","22.2","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","33","3.419","36.4","24.2","18.2","12.1","3.0",".",".",".",".",".",".",".",".","3.0","3.0","."
"Honors-Research Proj Design","580","001","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis","581","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Population and Society","663","001","14","2.964",".","21.4","57.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Issues-International Finance","666","001","28","3.411","46.4","17.9","10.7","21.4","3.6",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","698","003","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","698","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometrics II","705","001","52","3.385","23.1","34.6","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Microeconomics II","708","001","52","3.490","23.1","51.9","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","45","3.449","44.4","17.8","24.4","8.9","4.4",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","41","3.363","29.3","29.3","29.3","2.4","7.3",".",".","2.4",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","28","3.286","10.7","50.0","25.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
